d0,0,-73,-73
1,1,-90,-81
2,4,60,-15
3,9,9,34
4,16,-37,-14
5,25,88,25
6,36,25,56
7,49,16,20
8,64,-15,0
9,81,48,16
10,100,130,89
11,121,23,76
12,144,136,79
13,169,169,152
14,196,220,194
15,225,143,181
16,256,217,180
17,289,252,234
18,324,334,293
19,361,323,328
20,400,458,390
21,441,472,465
22,484,532,502
23,529,592,562
24,576,662,627
25,625,684,673
26,676,610,647
27,729,750,680
28,784,777,763
29,841,789,783
30,900,829,809
31,961,999,914
32,1024,1050,1024
33,1089,1017,1033
34,1156,1252,1134
35,1225,1258,1255
36,1296,1249,1253
37,1369,1462,1355
38,1444,1524,1493
39,1521,1428,1476
40,1600,1527,1477
41,1681,1775,1651
42,1764,1760,1767
43,1849,1869,1814
44,1936,1933,1901
45,2025,2060,1996
46,2116,2199,2129
47,2209,2162,2180
48,2304,2333,2247
49,2401,2382,2357
50,2500,2488,2435
51,2601,2652,2570
52,2704,2781,2716
53,2809,2748,2764
54,2916,2816,2782
55,3025,3093,2954
56,3136,3114,3103
57,3249,3188,3151
58,3364,3404,3296
59,3481,3546,3475
60,3600,3520,3533
61,3721,3801,3660
62,3844,3882,3841
63,3969,4025,3953
64,4096,4144,4084
65,4225,4245,4194
66,4356,4290,4267
67,4489,4448,4369
68,4624,4682,4565
69,4761,4836,4759
70,4900,4890,4863
71,5041,5119,5004
72,5184,5186,5152
73,5329,5326,5256
74,5476,5550,5438
75,5625,5708,5629
76,5776,5799,5753
77,5929,5846,5822
78,6084,6087,5966
79,6241,6202,6144
80,6400,6382,6292
81,6561,6475,6428
82,6724,6642,6558
83,6889,6860,6751
84,7056,6981,6920
85,7225,7234,7107
86,7396,7297,7265
87,7569,7563,7430
88,7744,7804,7683
89,7921,7902,7853
90,8100,8143,8022
91,8281,8306,8224
92,8464,8478,8392
93,8649,8614,8546
94,8836,8869,8741
95,9025,9002,8935
96,9216,9236,9119
97,9409,9481,9358
98,9604,9650,9565
99,9801,9775,9712
100,10000,10027,9901
